Date,	open,	High	,Low	,Close	,Change	,Long signal	,Short signal	,ema20, ema9, ema21, ema50	,vwap
"Wed 05 Aug '26   18:00","4,250.29","4,267.73","4,249.33","4,260.34","+10.05 (+0.24%)","0.00","0.00","4,183.29","4,223.01","4,180.46","4,130.75","4,177.04"
"Wed 05 Aug '26   17:00","4,242.35","4,252.50","4,236.90","4,250.29","+7.95 (+0.19%)","0.00","0.00","4,175.18","4,213.67","4,172.47","4,125.46","4,173.58"
"Wed 05 Aug '26   16:00","4,232.81","4,247.42","4,224.79","4,242.34","+9.56 (+0.23%)","0.00","0.00","4,167.27","4,204.52","4,164.69","4,120.37","4,169.09"
"Wed 05 Aug '26   15:00","4,244.22","4,265.15","4,232.36","4,232.78","−11.43 (−0.27%)","0.00","0.00","4,159.37","4,195.06","4,156.92","4,115.39","4,164.04"
"Wed 05 Aug '26   14:00","4,206.09","4,247.60","4,203.76","4,244.21","+38.09 (+0.91%)","0.00","0.00","4,151.64","4,185.63","4,149.34","4,110.60","4,158.18"
"Wed 05 Aug '26   13:00","4,183.99","4,206.80","4,183.81","4,206.12","+22.12 (+0.53%)","0.00","0.00","4,141.89","4,170.99","4,139.85","4,105.14","4,149.28"
"Wed 05 Aug '26   12:00","4,188.94","4,213.48","4,183.26","4,184.00","−4.93 (−0.12%)","0.00","0.00","4,135.13","4,162.20","4,133.22","4,101.02","4,143.56"
"Wed 05 Aug '26   11:00","4,161.43","4,192.65","4,160.86","4,188.93","+27.49 (+0.66%)","0.00","0.00","4,129.99","4,156.75","4,128.14","4,097.63","4,139.61"
"Wed 05 Aug '26   10:00","4,158.05","4,161.51","4,150.21","4,161.44","+3.40 (+0.08%)","0.00","0.00","4,123.79","4,148.71","4,122.06","4,093.91","4,135.16"
"Wed 05 Aug '26   09:00","4,160.57","4,167.26","4,153.10","4,158.04","−2.53 (−0.06%)","0.00","0.00","4,119.82","4,145.53","4,118.13","4,091.15","4,133.39"
"Wed 05 Aug '26   08:00","4,170.89","4,172.69","4,159.04","4,160.57","−10.32 (−0.25%)","0.00","0.00","4,115.80","4,142.40","4,114.14","4,088.42","4,131.26"
"Wed 05 Aug '26   07:00","4,177.59","4,179.50","4,162.36","4,170.89","−6.69 (−0.16%)","0.00","0.00","4,111.09","4,137.86","4,109.49","4,085.48","4,128.15"
"Wed 05 Aug '26   06:00","4,161.50","4,178.45","4,160.26","4,177.58","+16.04 (+0.39%)","0.00","0.00","4,104.79","4,129.60","4,103.35","4,081.99","4,122.89"
"Wed 05 Aug '26   05:00","4,135.56","4,172.93","4,134.76","4,161.54","+25.97 (+0.63%)","0.00","0.00","4,097.13","4,117.60","4,095.93","4,078.09","4,114.31"
"Wed 05 Aug '26   04:00","4,128.37","4,141.44","4,128.33","4,135.57","+7.19 (+0.17%)","0.00","0.00","4,090.35","4,106.62","4,089.37","4,074.68","4,106.28"
"Wed 05 Aug '26   03:00","4,129.26","4,136.59","4,127.06","4,128.38","−0.88 (−0.02%)","0.00","0.00","4,085.59","4,099.38","4,084.75","4,072.20","4,102.39"
"Wed 05 Aug '26   02:00","4,101.47","4,135.35","4,095.55","4,129.26","+27.80 (+0.68%)","0.00","0.00","4,081.08","4,092.13","4,080.39","4,069.90","4,097.35"
"Wed 05 Aug '26   01:00","4,082.48","4,102.69","4,077.62","4,101.46","+18.99 (+0.47%)","0.00","0.00","4,076.01","4,082.85","4,075.50","4,067.48","4,085.76"
