<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.02	01:00:00	4325.84	4333.76	4322.16	4327.42	1765	0	19
2026.01.02	01:05:00	4327.43	4333.55	4327.36	4333.25	892	0	19
2026.01.02	01:10:00	4333.25	4335.40	4329.43	4330.89	1053	0	19
2026.01.02	01:15:00	4330.90	4334.37	4328.31	4334.34	949	0	19
2026.01.02	01:20:00	4334.34	4340.76	4332.95	4339.97	1288	0	19
2026.01.02	01:25:00	4339.94	4342.53	4338.20	4340.94	1545	0	19
2026.01.02	01:30:00	4340.96	4341.67	4340.57	4341.51	809	0	19
2026.01.02	01:35:00	4341.50	4344.09	4340.18	4340.66	1199	0	19
2026.01.02	01:40:00	4340.66	4345.53	4339.16	4345.36	1043	0	19
2026.01.02	01:45:00	4345.39	4346.00	4342.27	4343.02	1212	0	19
2026.01.02	01:50:00	4343.02	4347.50	4341.84	4347.48	1314	0	19
2026.01.02	01:55:00	4347.49	4351.37	4346.89	4348.36	1406	0	19
2026.01.02	02:00:00	4348.33	4349.11	4345.24	4346.48	1204	0	19
2026.01.02	02:05:00	4346.49	4350.46	4344.53	4350.18	1209	0	19
2026.01.02	02:10:00	4350.17	4353.03	4347.50	4348.00	1335	0	19
2026.01.02	02:15:00	4348.00	4349.32	4344.61	4344.63	1054	0	19
2026.01.02	02:20:00	4344.63	4347.37	4342.74	4343.49	1516	0	19
2026.01.02	02:25:00	4343.49	4347.57	4341.40	4347.27	1492	0	19
2026.01.02	02:30:00	4347.27	4349.36	4346.91	4348.42	1570	0	19
2026.01.02	02:35:00	4348.43	4350.83	4347.66	4348.63	1966	0	19
2026.01.02	02:40:00	4348.64	4350.65	4346.68	4349.68	1878	0	19
2026.01.02	02:45:00	4349.65	4353.27	4349.65	4351.89	1745	0	19
2026.01.02	02:50:00	4351.90	4353.08	4350.80	4352.26	1615	0	19
